ds,yhat
169,25.706811873674127
170,28.08107521261732
171,25.876705571626974
172,26.09069759614888
173,25.914625448272737
174,25.800384614551913
175,26.876029765828196
176,25.306675827639364
177,24.454970653925756
178,25.281457340409627
179,25.39256022633206
180,25.43884890997338
181,25.786873779775433
182,26.870596882933597
183,24.781506444789308
184,23.21568090442152
185,24.71309656136644
186,24.801423272530393
187,24.89693511651658
188,25.34728996428308
189,26.432801252525003
190,24.228658747559855
191,22.504751132623536
192,24.15068775114733
193,24.233972588245393
194,24.3403807736153
195,24.81338801439917
196,25.89929514628448
197,23.669684008500976
198,21.91078237369521
199,23.5895965053381
200,26.314547143165314
201,26.423367409651483
202,26.90138912341405
203,27.987383881681797
204,25.752134850763813
205,23.985486724586615
206,25.671578824655008
207,25.753500494703445
208,25.862854714294286
209,26.34198646262295
210,27.428000618405413
211,25.191503548803045
212,23.42314061167267
213,25.110843807574582
214,25.192710785394972
215,25.302183204127655
216,25.78156067653204
217,26.867579126267614
218,24.630805783149487
219,22.86206324492436
220,24.55012308290453
221,24.631977953717083
222,24.74147653773846
223,25.220908405134892
224,26.30692780540632
225,24.0700933046843
226,22.301266735627152
227,23.9894055220903
228,24.071257712821172
229,24.180762088951706
230,24.66020599755798
231,28.38900750921423
232,26.152159470269034
233,24.383314299630314
234,26.071470562615005
235,26.153322160066523
236,26.26282781837395
237,26.742274392496462
238,27.82829404976343
239,25.591443013913917
240,23.82259372551475
241,25.51075385720969
242,25.592605323329238
243,25.702111265467224
244,26.1815584296448
245,27.2675780972228
246,25.030726397960123
247,23.261876198028183
248,24.95003718612461
249,25.031888623171707
250,25.141394628140176
251,25.62084192293596
252,26.70686159279648
253,24.470009746676585
254,22.701159344962154
255,24.389320522636876
256,24.471171953248312
257,24.580677972125322
258,25.060125295835558
259,26.146144966201348
260,23.909293087572237
